Titulo;Descrição;Data Inicio;Data Fim;dias uteis;dia da semanha;Marca;Colecao;Setor;
Costura Jeans Grupo 07 Noven Verão 27;"Costura Jeans Grupo 07 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-04-24 00:00:00;2026-04-24 23:59:59;1;6;Noven;Verão 27;Costura;Produção
Costura Moda Jeans Grupo 07 Noven Verão 27;"Costura Moda Jeans Grupo 07 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-04-24 00:00:00;2026-04-24 23:59:59;1;6;Noven;Verão 27;Costura;Produção
Costura Moda Grupo 07 Noven Verão 27;"Costura Moda Grupo 07 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-05-25 00:00:00;2026-05-25 23:59:59;1;6;Noven;Verão 27;Costura;Produção
Lavanderia Grupo 07 Noven Verão 27;"Lavanderia Grupo 07 Noven Verão 27; Noven; Verão 27; Lavanderia; Produção";2026-05-25 00:00:00;2026-05-25 23:59:59;1;4;Noven;Verão 27;Lavanderia;Produção
Acabamento Grupo 07 Noven Verão 27;"Acabamento Grupo 07 Noven Verão 27; Noven; Verão 27; Acabamento; Produção";2026-06-23 00:00:00;2026-06-23 23:59:59;1;4;Noven;Verão 27;Acabamento;Produção
Expedição Grupo 07 Noven Verão 27;"Expedição Grupo 07 Noven Verão 27; Noven; Verão 27; Expedição; Produção";2026-07-02 00:00:00;2026-07-02 23:59:59;1;4;Noven;Verão 27;Expedição;Produção
Lançamento Noven Grupo 07;"Lançamento no showroom da Noven Grupo 07; Noven; Verão 27; Comercial; Produto Acabado";2026-07-14 00:00:00;2026-07-14 23:59:59;1;3;Noven;Verão 27;Comercial;Produto Acabado
Liberação Lacre Vermelho Noven Verão 27 (Grupo 08);"Liberação das peças de lacre vermelho da Noven Verão 27 grupo 08; Noven; Verão 27; PCP; Desenvolvimento";2026-03-23 00:00:00;2026-03-23 23:59:59;1;3;Noven;Verão 27;PCP;Desenvolvimento
Corte Grupo 08 Noven Verão 27;"Corte Grupo 08 Noven Verão 27; Noven; Verão 27; Corte; Produção";2026-04-14 00:00:00;2026-04-14 23:59:59;1;5;Noven;Verão 27;Corte;Produção
Costura Jeans Grupo 08 Noven Verão 27;"Costura Jeans Grupo 08 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-05-27 00:00:00;2026-05-27 23:59:59;1;2;Noven;Verão 27;Costura;Produção
Costura Moda Jeans Grupo 08 Noven Verão 27;"Costura Moda Jeans Grupo 08 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-05-27 00:00:00;2026-05-27 23:59:59;1;2;Noven;Verão 27;Costura;Produção
Costura Moda Grupo 08 Noven Verão 27;"Costura Moda Grupo 08 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-06-24 00:00:00;2026-06-24 23:59:59;1;2;Noven;Verão 27;Costura;Produção
Lavanderia Grupo 08 Noven Verão 27;"Lavanderia Grupo 08 Noven Verão 27; Noven; Verão 27; Lavanderia; Produção";2026-06-24 00:00:00;2026-06-24 23:59:59;1;3;Noven;Verão 27;Lavanderia;Produção
Acabamento Grupo 08 Noven Verão 27;"Acabamento Grupo 08 Noven Verão 27; Noven; Verão 27; Acabamento; Produção";2026-07-24 00:00:00;2026-07-24 23:59:59;1;4;Noven;Verão 27;Acabamento;Produção
Expedição Grupo 08 Noven Verão 27;"Expedição Grupo 08 Noven Verão 27; Noven; Verão 27; Expedição; Produção";2026-08-04 00:00:00;2026-08-04 23:59:59;1;2;Noven;Verão 27;Expedição;Produção
Lançamento Noven Grupo 08;"Lançamento no showroom da Noven Grupo 08. Bh à Porter; Noven; Verão 27; Comercial; Produto Acabado";2026-08-18 00:00:00;2026-08-18 23:59:59;1;3;Noven;Verão 27;Comercial;Produto Acabado
Liberação Lacre Vermelho Noven Verão 27 (Grupo 09);"Liberação das peças de lacre vermelho da Noven Verão 27 grupo 09; Noven; Verão 27; PCP; Desenvolvimento";2026-04-27 00:00:00;2026-04-27 23:59:59;1;3;Noven;Verão 27;PCP;Desenvolvimento
Corte Grupo 09 Noven Verão 27;"Corte Grupo 09 Noven Verão 27; Noven; Verão 27; Corte; Produção";2026-05-19 00:00:00;2026-05-19 23:59:59;1;4;Noven;Verão 27;Corte;Produção
Costura Jeans Grupo 09 Noven Verão 27;"Costura Jeans Grupo 09 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-06-29 00:00:00;2026-06-29 23:59:59;1;5;Noven;Verão 27;Costura;Produção
Costura Moda Jeans Grupo 09 Noven Verão 27;"Costura Moda Jeans Grupo 09 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-06-29 00:00:00;2026-06-29 23:59:59;1;5;Noven;Verão 27;Costura;Produção
Costura Moda Grupo 09 Noven Verão 27;"Costura Moda Grupo 09 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-07-23 00:00:00;2026-07-23 23:59:59;1;5;Noven;Verão 27;Costura;Produção
Lavanderia Grupo 09 Noven Verão 27;"Lavanderia Grupo 09 Noven Verão 27; Noven; Verão 27; Lavanderia; Produção";2026-07-23 00:00:00;2026-07-23 23:59:59;1;5;Noven;Verão 27;Lavanderia;Produção
Acabamento Grupo 09 Noven Verão 27;"Acabamento Grupo 09 Noven Verão 27; Noven; Verão 27; Acabamento; Produção";2026-08-26 00:00:00;2026-08-26 23:59:59;1;2;Noven;Verão 27;Acabamento;Produção
Expedição Grupo 09 Noven Verão 27;"Expedição Grupo 09 Noven Verão 27; Noven; Verão 27; Expedição; Produção";2026-09-02 00:00:00;2026-09-02 23:59:59;1;3;Noven;Verão 27;Expedição;Produção
Lançamento Noven Grupo 09;"Lançamento no showroom da Noven Grupo 09; Noven; Verão 27; Comercial; Produto Acabado";2026-09-15 00:00:00;2026-09-15 23:59:59;1;3;Noven;Verão 27;Comercial;Produto Acabado
Liberação Lacre Vermelho Noven Verão 27 (Grupo 10);"Liberação das peças de lacre vermelho da Noven Verão 27 grupo 10; Noven; Verão 27; PCP; Desenvolvimento";2026-05-26 00:00:00;2026-05-26 23:59:59;1;3;Noven;Verão 27;PCP;Desenvolvimento
Corte Grupo 10 Noven Verão 27;"Corte Grupo 10 Noven Verão 27; Noven; Verão 27; Corte; Produção";2026-06-17 00:00:00;2026-06-17 23:59:59;1;4;Noven;Verão 27;Corte;Produção
Costura Jeans Grupo 10 Noven Verão 27;"Costura Jeans Grupo 10 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-07-22 00:00:00;2026-07-22 23:59:59;1;3;Noven;Verão 27;Costura;Produção
Costura Moda Jeans Grupo 10 Noven Verão 27;"Costura Moda Jeans Grupo 10 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-07-22 00:00:00;2026-07-22 23:59:59;1;3;Noven;Verão 27;Costura;Produção
Costura Moda Grupo 10 Noven Verão 27;"Costura Moda Grupo 10 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-08-14 00:00:00;2026-08-14 23:59:59;1;3;Noven;Verão 27;Costura;Produção
Lavanderia Grupo 10 Noven Verão 27;"Lavanderia Grupo 10 Noven Verão 27; Noven; Verão 27; Lavanderia; Produção";2026-08-14 00:00:00;2026-08-14 23:59:59;1;6;Noven;Verão 27;Lavanderia;Produção
Acabamento Grupo 10 Noven Verão 27;"Acabamento Grupo 10 Noven Verão 27; Noven; Verão 27; Acabamento; Produção";2026-09-24 00:00:00;2026-09-24 23:59:59;1;5;Noven;Verão 27;Acabamento;Produção
Expedição Grupo 10 Noven Verão 27;"Expedição Grupo 10 Noven Verão 27; Noven; Verão 27; Expedição; Produção";2026-10-02 00:00:00;2026-10-02 23:59:59;1;5;Noven;Verão 27;Expedição;Produção
Lançamento Noven Grupo 10;"Lançamento no showroom da Noven Grupo 10; Noven; Verão 27; Comercial; Produto Acabado";2026-10-20 00:00:00;2026-10-20 23:59:59;1;3;Noven;Verão 27;Comercial;Produto Acabado
Liberação Lacre Vermelho Noven Verão 27 (Grupo 11);"Liberação das peças de lacre vermelho da Noven Verão 27 grupo 11; Noven; Verão 27; PCP; Desenvolvimento";2026-06-19 00:00:00;2026-06-19 23:59:59;1;3;Noven;Verão 27;PCP;Desenvolvimento
Corte Grupo 11 Noven Verão 27;"Corte Grupo 11 Noven Verão 27; Noven; Verão 27; Corte; Produção";2026-07-10 00:00:00;2026-07-10 23:59:59;1;5;Noven;Verão 27;Corte;Produção
Costura Jeans Grupo 11 Noven Verão 27;"Costura Jeans Grupo 11 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-08-11 00:00:00;2026-08-11 23:59:59;1;5;Noven;Verão 27;Costura;Produção
Costura Moda Jeans Grupo 11 Noven Verão 27;"Costura Moda Jeans Grupo 11 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-08-11 00:00:00;2026-08-11 23:59:59;1;5;Noven;Verão 27;Costura;Produção
Costura Moda Grupo 11 Noven Verão 27;"Costura Moda Grupo 11 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-09-03 00:00:00;2026-09-03 23:59:59;1;5;Noven;Verão 27;Costura;Produção
Lavanderia Grupo 11 Noven Verão 27;"Lavanderia Grupo 11 Noven Verão 27; Noven; Verão 27; Lavanderia; Produção";2026-09-03 00:00:00;2026-09-03 23:59:59;1;2;Noven;Verão 27;Lavanderia;Produção
Acabamento Grupo 11 Noven Verão 27;"Acabamento Grupo 11 Noven Verão 27; Noven; Verão 27; Acabamento; Produção";2026-10-20 00:00:00;2026-10-20 23:59:59;1;6;Noven;Verão 27;Acabamento;Produção
Expedição Grupo 11 Noven Verão 27;"Expedição Grupo 11 Noven Verão 27; Noven; Verão 27; Expedição; Produção";2026-11-04 00:00:00;2026-11-04 23:59:59;1;3;Noven;Verão 27;Expedição;Produção
Lançamento Noven Grupo 11;"Lançamento no showroom da Noven Grupo 11; Noven; Verão 27; Comercial; Produto Acabado";2026-11-24 00:00:00;2026-11-24 23:59:59;1;3;Noven;Verão 27;Comercial;Produto Acabado
Entrega Desenhos Noven Inverno 27;"Entrega dos desenhos Noven Inverno 27. Em torno de 80% dos desenhos devem ser entregues na data inicial; Noven; Inverno 27; Estilo; Desenvolvimento";2026-02-02 00:00:00;2026-02-02 23:59:59;1;2;Noven;Inverno 27;Estilo;Desenvolvimento
Limite Entrega Desenhos Noven Inverno 27;"Entrega dos desenhos Noven Inverno 27. Em torno de 80% dos desenhos devem ser entregues na data inicial; Noven; Inverno 27; Estilo; Desenvolvimento";2026-08-03 00:00:00;2026-08-03 23:59:59;1;2;Noven;Inverno 27;Estilo;Desenvolvimento
Modelagem Noven Inverno 27;"Modelagem dos desenhos da Noven Inverno 27; Noven; Inverno 27; Modelagem; Desenvolvimento";2026-08-10 00:00:00;2026-08-10 23:59:59;1;2;Noven;Inverno 27;Modelagem;Desenvolvimento
Pilotagem Noven Inverno 27;"Pilotagem das peças da Noven Inverno 27; Noven; Inverno 27; Pilotagem; Desenvolvimento";2026-08-17 00:00:00;2026-08-17 23:59:59;1;2;Noven;Inverno 27;Pilotagem;Desenvolvimento
Lavanderia Pilotos Noven Inverno 27;"Lavanderia das peças piloto da Noven Inverno 27; Noven; Inverno 27; Lavanderia Dsv.; Desenvolvimento";2026-08-24 00:00:00;2026-08-24 23:59:59;1;2;Noven;Inverno 27;Lavanderia Dsv.;Desenvolvimento
Acabamento Pilotos Noven Inverno 27;"Acabamento das peças piloto da Noven Inverno 27; Noven; Inverno 27; Acabamento Dsv.; Desenvolvimento";2026-08-31 00:00:00;2026-08-31 23:59:59;1;2;Noven;Inverno 27;Acabamento Dsv.;Desenvolvimento
Primeira Banca Noven Inverno 27;"Banca das peças piloto da Noven Inverno 27; Noven; Inverno 27; Banca; Desenvolvimento";2026-04-14 00:00:00;2026-04-14 23:59:59;1;3;Noven;Inverno 27;Banca;Desenvolvimento
Segunda Banca Noven Inverno 27;"Banca das peças piloto da Noven Inverno 27; Noven; Inverno 27; Banca; Desenvolvimento";2026-07-07 00:00:00;2026-07-07 23:59:59;1;3;Noven;Inverno 27;Banca;Desenvolvimento
Última Banca Noven Inverno 27;"Banca das peças piloto da Noven Inverno 27; Noven; Inverno 27; Banca; Desenvolvimento";2026-09-15 00:00:00;2026-09-15 23:59:59;1;3;Noven;Inverno 27;Banca;Desenvolvimento
Fotos Noven Inverno 27;"Fotos da Noven Inverno 27; Noven; Inverno 27; Marketing; Desenvolvimento";2026-11-23 00:00:00;2026-11-23 23:59:59;1;2;Noven;Inverno 27;Marketing;Desenvolvimento
Liberação Lacre Vermelho Noven Inverno 27 (Grupo 01);"Liberação das peças de lacre vermelho da Noven Inverno 27 Grupo 01; Noven; Inverno 27; PCP; Desenvolvimento";2026-07-14 00:00:00;2026-07-14 23:59:59;1;3;Noven;Inverno 27;PCP;Desenvolvimento
Corte Grupo 01 Noven Inverno 27;"Corte Grupo 01 Noven Inverno 27; Noven; Inverno 27; Corte; Produção";2026-08-04 00:00:00;2026-08-04 23:59:59;1;3;Noven;Inverno 27;Corte;Produção
Costura Jeans Grupo 01 Noven Inverno 27;"Costura Jeans Grupo 01 Noven Inverno 27; Noven; Inverno 27; Costura; Produção";2026-09-01 00:00:00;2026-09-01 23:59:59;1;3;Noven;Inverno 27;Costura;Produção
Costura Moda Jeans Grupo 01 Noven Inverno 27;"Costura Moda Jeans Grupo 01 Noven Inverno 27; Noven; Inverno 27; Costura; Produção";2026-09-01 00:00:00;2026-09-01 23:59:59;1;3;Noven;Inverno 27;Costura;Produção
Costura Moda Grupo 01 Noven Inverno 27;"Costura Moda Grupo 01 Noven Inverno 27; Noven; Inverno 27; Costura; Produção";2026-09-25 00:00:00;2026-09-25 23:59:59;1;6;Noven;Inverno 27;Costura;Produção
Lavanderia Grupo 01 Noven Inverno 27;"Lavanderia Grupo 01 Noven Inverno 27; Noven; Inverno 27; Lavanderia; Produção";2026-09-25 00:00:00;2026-09-25 23:59:59;1;6;Noven;Inverno 27;Lavanderia;Produção
